Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Lemonilo Chimi Keripik Ubi Jagung Bakar,PT. UNIVERSAL CIPTA PANGAN,41,gr,220,"10,23255814",2,"0,16",4,24,8,14,20,6,30,0,0,160,10,8 997014 021850,,
Lemonilo Chimi Keripik Ubi Jagung Balado,PT. UNIVERSAL CIPTA PANGAN,41,gr,220,"10,23255814",2,"0,16",4,24,8,14,20,6,30,0,0,120,8,8 997014 021867,,
GEMEZ Enaak Snack Mi,PT. SIANTAR TOP Tbk.,16,gr,70,"3,255813953",1,"0,08",2,10,3,"2,5",4,1,6,1,2,200,13,8 886013 700104,,
MOMOGI Keju,PT. Sari Murni Jaya,5,gr,30,"1,395348837",1,"0,08",2,3,1,2,3,1,4,0,0,0,0,8 994075 260037,,
Oops Star Cracker Roasted Sweet Corn,PT. ULTRA PRIMA ABADI,10,gr,45,"2,093023256",1,"0,08",2,7,2,"1,5",2,1,4,1,1,130,9,8 991102 789110,,
Oreo Soft Cake ,PT. MONDELEZ INDONESIA TRADING,16,gr,80,"3,720930233",4,"0,32",8,10,3,4,6,3,15,1,1,15,1,7 622300 335755,,
Nabati Wafer Richeese,PT. KALDU SARI NABATI INDONESIA,37,gr,175,"8,139534884","12,5",1,25,0,0,"6,25",10,"2,5",15,"2,5",5,0,0,8 993175 535878,https://drive.google.com/file/d/1FiCrgbxexOxfrxPDj1KlKdZ7cr2qBmQF/view?usp=drive_link,https://drive.google.com/file/d/1DZG94d4cdNNJilpusunrvTmE3YHKhlVS/view?usp=drive_link
Chitato Sapi Panggang,PT. INDOFOOD FORTUNA MAKMUR,15,gr,80,"3,720930233",0,0,0,8,3,"4,5",7,2,10,1,2,85,6,0 89686 59801 8,https://drive.google.com/file/d/1FfNkL0AuHl__casldmepPcvfsq01hfPC/view?usp=drive_link,https://drive.google.com/file/d/1EnrbVJDIoK4lnYU2OVWTQ_N2F4aYy4TQ/view?usp=drive_link
Chitato Sapi Panggang,PT. INDOFOOD FORTUNA MAKMUR,35,gr,220,"10,23255814",0,0,0,22,6,12,18,6,28,4,6,230,16,0 89686 59802 5,,
Chitato Ayam Barbekiu,PT. INDOFOOD FORTUNA MAKMUR,65,gr,"357,5","16,62790698","3,25","0,26","6,5","35,75","9,75","22,75","32,5","9,75","45,5","3,25","6,5","341,25","22,75",0 89686 59818 6,,
Chitato Lite Rumput Laut,PT. INDOFOOD FORTUNA MAKMUR,68,gr,374,"17,39534884","3,4","0,272","6,8","37,4","13,6","20,4",34,"10,2","47,6","3,4","6,8",289,"20,4",0 89686 73203 0,,
Better Sandwich Biscuit,PT. MAYORA INDAH Tbk.,27,gr,140,"6,511627907",9,"0,72",18,18,5,7,10,4,21,2,3,75,5,8 996001 317020,https://drive.google.com/file/d/1FEXRxJ8emnfW1D0J2_IKNGTzMfvgqzdn/view?usp=drive_link,https://drive.google.com/file/d/1DwkgQJTCHBY5WZsyKczP-yPlRTp_6frX/view?usp=drive_link
Superstar Wafer,PT. MAYORA INDAH Tbk. ,"12,5",gr,60,"2,790697674",4,"0,32",8,8,2,"3,5",5,"2,5",13,1,1,35,1,8 996001 355046,https://drive.google.com/file/d/1FOdL-W9LksvwUzbbsjWgJYiKuAVRUMJv/view?usp=drive_link,https://drive.google.com/file/d/1DqbX-8EKxRb0tIl-iL_e-FVB1N7ASAUt/view?usp=drive_link
Nextar Chocolate Pie,PT. KALDU SARI NABATI INDONESIA,24,gr,110,"5,11627907",6,"0,48",12,15,5,5,7,"3,5",17,1,2,50,3,8 993175 563413,https://drive.google.com/file/d/1FRBU5WR4BJFuRntv868ny2JUXDevmxlk/view?usp=drive_link,https://drive.google.com/file/d/1DenPDhlaRObH7a8e--h3ceJ-J8S0eKr9/view?usp=drive_link
Happy Tos Original,PT. SINAR KENCANA AGUNG,25,gr,130,"6,046511628",1,"0,08",2,16,5,7,10,3,14,2,3,105,7,8 993027 133207,https://drive.google.com/file/d/1FhMvcnmidcE46jMnsx-rD6a02_HgN5Qh/view?usp=drive_link,https://drive.google.com/file/d/1Da-cBjvozTV1WWE566r-0GckRsn8-3tg/view?usp=drive_link
Astor Chocolate,PT. MAYORA INDAH Tbk.,150,gr,720,"33,48837209",60,"4,8",120,108,30,30,42,12,60,12,18,150,12,8 886001 026025,https://drive.google.com/file/d/1aFgErA7QTtcmMoAdD4eMgoc1YHaAorMg/view?usp=sharing,https://drive.google.com/file/d/1sv6fR4YTB2RoGJVzRRlgO8e3rxcGmpBN/view?usp=sharing
Pocky Chocolate,PT. GLICO MANUFACTURING INDONESIA,47,gr,220,"10,23255814",14,"1,12",28,32,10,8,12,7,38,4,6,90,6,8 990044 000000,https://drive.google.com/file/d/1jHKw5rx9kUd3qLghZsuu3dY4jZBzRNMf/view?usp=sharing,https://drive.google.com/file/d/1aObDACCLLbx5L5kAlETYP_lmi3vABHNi/view?usp=sharing
Chiki Balls Crafty Cheese,PT. INDOFOOD FORTUNA MAKMUR,55,gr,275,"12,79069767","5,5","0,44",11,33,11,"16,5",22,"5,5",33,"5,5","5,5",495,33,0 89686 59004 3,https://drive.google.com/file/d/1n9sIpFHQ7owfWtNExZPgqEp55E4yAjgC/view?usp=sharing,https://drive.google.com/file/d/1BFKrNm4__ksinmCk16zh6xns2Uty5m_o/view?usp=sharing
Chiki Balls Curious Choco,PT. INDOFOOD FORTUNA MAKMUR,55,gr,250,"11,62790698",10,"0,8",20,35,10,"12,5",20,5,30,5,5,25,5,0 89686 59101 9,https://drive.google.com/file/d/1pdPuhJg2CuO9yaEfY89V6RWc269yq_re/view?usp=sharing,https://drive.google.com/file/d/1sfo4IaKXcYDNrK_qNAdroSTVF6_ZWHZR/view?usp=sharing
Khong Guan Saltcheese Combo,PT. KHONG GUAN BISCUIT FACTORY INDONESIA LTD.,175,gr,800,"37,20930233",50,4,100,110,30,40,60,20,100,10,20,500,30,8 888166 607392,https://drive.google.com/file/d/1xPt9ZMEm7lik8CHGmXVyXRZhIQzPHYYt/view?usp=sharing,https://drive.google.com/file/d/1k0BbvlpOFxMK4pp9nYwRm4X14Hg8iR8w/view?usp=sharing
Ovaltine Chocolate Malt Cookies,PT. MONDE MAHKOTA BISCUIT,120,gr,560,"26,04651163",32,"2,56",64,80,20,24,36,12,60,8,16,460,32,7 612100 062890,https://drive.google.com/file/d/1QDBh9TOxSzAjc2xk7zRUAHd4sthQbOga/view?usp=sharing,https://drive.google.com/file/d/1w9NnnBWiZsDlWhxBv6Y-qjeh7a9w2CdB/view?usp=sharing
Sojoy Almond & Chocolate,PT. AMERTA INDAH OTSUKA,30,gr,160,"7,441860465",6,"0,48",12,12,4,10,15,4,20,5,9,35,2,8 997035 600928,https://drive.google.com/file/d/1_UvRp4C9JOBkliGeAHdwWGQlqOBs5tg5/view?usp=sharing,https://drive.google.com/file/d/1qJVkml4CxyGrtq1TmMewN9cb5ctDOqLd/view?usp=sharing
Sari Roti Dorayaki Chocolate,PT. NIPPON INDOSARI CORPINDO Tbk.,55,gr,170,"7,906976744",18,"1,44",36,32,10,"3,5",5,"1,5",8,4,6,115,8,8 992907 952549,https://drive.google.com/file/d/1tX84wTmcoGKxKmzGvYqnhuWUubZXLGrd/view?usp=sharing,https://drive.google.com/file/d/12Y7xnJMYaXNDbvP9yowosmWYt0dfPdN-/view?usp=sharing
Chitato Lite Salmon Teriyaki,PT. Indofood Fortuna Makmur,60,gr,330,"15,34883721",3,"0,24",6,33,9,18,30,15,75,3,6,165,12,0 896867 32078,,
Apetito BBQ,PT. MAYORA INDAH Tbk. ,"18,5",gr,200,"9,302325581","2,5","0,2",5,0,0,"7,5",10,0,0,0,0,"337,5",9,8 996001 313695,https://drive.google.com/file/d/1FBDah8Rg-iLtL-HAyhNsra4p3FdhZCJ2/view?usp=drive_link,https://drive.google.com/file/d/1Dx-hXT91ghuvz4xrSoCGjwOOwIJ8CY0h/view?usp=drive_link
Hello Panda Strawberry,PT. MEIJI FOOD INDONESIA,25,gr,195,"9,069767442","10,5","0,84",21,0,0,9,"13,5","4,5","22,5",3,"4,5","112,5","7,5",8 994504 102327,https://drive.google.com/file/d/1Eqpt2GJ2AhzqaV5xe8u19hq9eGNM6MiL/view?usp=drive_link,https://drive.google.com/file/d/1E09prJhImGNtSqgEQDAWPduj8U1L5okH/view?usp=drive_link
Briko Milk Vanilla,PT. PERUSAHAAN INDUSTRI CERES,30,gr,750,"34,88372093",10,"0,8",20,105,30,30,45,20,105,10,15,275,20,8 991001 780430,https://drive.google.com/file/d/1EsIe4tdRz-a6_j8WbnJ0JTPy_7i_RZgn/view?usp=drive_link,https://drive.google.com/file/d/1EAYv-K7cV0xpk7UyAUVeDRYDHNYKj9qY/view?usp=drive_link
